name,lat,lon,state,capacity,developer,year,type,technology,bifacial,grid,manufacturer,offtake,financing,performance,irradiance,grid_proximity,image_url,source,highlights,types,url
Solar Park A,28.7041,77.1025,Delhi,100,ABC Solar Ltd.,2020,Utility-scale,c-Si,True,132kV Substation A,XYZ Panels Co.,PPA,ADB loan (public),95% avg CUF,5.2 kWh/m²/day,1.2 km,https://via.placeholder.com/150,tata,,,
Rooftop B,19.076,72.8777,Maharashtra,2,GreenHomes,2022,Rooftop,CdTe,False,Low-voltage net meter,ThinFilmTech,Net Metering,Private Equity,88% CUF,4.8 kWh/m²/day,Direct,https://via.placeholder.com/150,renew,,,
Floating Solar C,13.0827,80.2707,Tamil Nadu,10,SunFloat Energy,2021,Floating,c-Si,True,220kV Transmission,SunTech,Merchant Market,World Bank-backed,90% CUF,5.5 kWh/m²/day,0.5 km,https://via.placeholder.com/150,azure,,,
Punjab 4,30.195009,74.9495666, Punjab,150 MW,Azure Power,2016,,,,,,Punjab State Power Corporation Limited,,,,,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Punjab-4-2.jpg?itok=lI-A6XJF,,North India’s largest private solar power plant at commissioning,,
Andhra Pradesh 2,15.8309251,78.0425373, Andhra Pradesh,100 MW,Azure Power,2017,,,,,,NTPC Limited,,,,,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Andhra-Pradesh-2.jpg?itok=FG5IQvnE,,,,
Telangana 1,16.8182284,78.3629776, Telangana,100 MW,Azure Power,2018,,,,,,NTPC Limited,,,,,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Telangana-1.jpg?itok=ZueWNBvK,,,,
Gujarat 2,22.3850051,71.745261, Gujarat,260 MW,Azure Power,2019,,,,,,Gujarat Urja Vikas Nigam Limited,,,,,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2021-06/Gujarat-2-1.jpg?itok=mCFI8WOv,,95 MWs was commissioned approximately 5 months ahead of the scheduled PPA operation date,,
Rajasthan 3,26.2967719,73.0351433, Rajasthan,100 MW,Azure Power,2015,,,,,,Solar Energy Corporation of India,,,,,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Rajasthan-3-3.jpg?itok=b189Cj9K,,Largest operating project under NSM at commissioning,,
Karnataka 3,14.3049174,76.5297234, Karnataka,130 MW,Azure Power,2016,,,,,,"Chamundeshwari Electricity Supply Company Limited, Hubli Electricity Supply Company Limited and Gulbarga Electricity Supply Company Limited",,,,,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Karnataka-3.jpg?itok=01ucMWex,,,,
Maharashtra 3,25.2591738,73.9998292, Rajasthan,130 MW,Azure Power,2019,,,,,,Maharashtra State Electricity Distribution Company Limited,,,,,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Maharashtra-3.jpg?itok=2T4Ua4P0,,,,
Karnataka 4,14.2365432,77.4207264, Karnataka,100 MW,Azure Power,2017,,,,,,Bangalore Electricty Supply Company and Hubli Electricty Supply Company,,,,,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Karnataka-4.jpg?itok=qufy1fBU,,"The project has been set up at Pavagada Solar Park, one of the largest solar parks in the world",,
Rajasthan 2,26.9873443,73.7389011, Rajasthan,35 MW,Azure Power,2013,,,,,,NTPC Vidyut Vyapar Nigam Limited,,,,,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Rajasthan-2.jpg?itok=lAupePGd,,,,
Andhra Pradesh 3,14.4752936,78.8216861, Andhra Pradesh,50 MW,Azure Power,2018,,,,,,Solar Energy Corporation of India,,,,,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Andhra-Pradesh-3.jpg?itok=Q5jOZ1cu,,,,
Punjab 2,30.4692,74.5182, Punjab,34 MW,Azure Power,2014,,,,,,Punjab State Power Corporation Limited,,,,,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Punjab-2-1.jpg?itok=I8HduQWA,,North India’s largest private solar power plant at commissioning,,
Uttar Pradesh 2,27.3369978,80.0998232, Uttar Pradesh,50 MW,Azure Power,2017,,,,,,NTPC Limited,,,,,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Uttar-Pradesh-2.jpg?itok=4kDOJ8Xg,,,,
